filename,audio_data_mean,audio_data_var,zcr_mean,zcr_var,sc_mean,sc_var,srolloff_mean,srolloff_var,mfcc_mean,mfcc_var,chroma_mean,chroma_var,scale
tizita142.wav,-5.248893e-06,0.006382036,0.0806386012340807,0.07413601722509161,1558.8242497884976,1074544.444252968,2779.749857899574,3858583.7313141646,-13.440518,5471.5903,0.27528033,0.105183624,Tizita
tizita143.wav,5.954769e-06,0.008222669,0.08376084658964623,0.07674496716823201,1658.9508284702656,705931.3605092497,3273.638538088961,4174158.290594143,-4.171077,3958.2415,0.33381853,0.092360474,Tizita
tizita144.wav,1.7276996e-05,0.00916224,0.049912896066044876,0.047421598872345073,1123.3885542014336,575286.2012766383,2160.8394472339037,3992588.2404155997,-6.061384,6133.836,0.3076351,0.09734219,Tizita
tizita145.wav,5.3895287e-06,0.023366202,0.04226446703347379,0.0404781818598502,1330.4850232995238,480847.41895675403,2798.3330788627127,4100469.0757323722,0.29513443,3427.7363,0.29828894,0.0955657,Tizita
tizita146.wav,8.695238e-05,0.029998811,0.04238088974164743,0.040584749926353754,1186.098298114998,287511.49964223657,2394.1771894047506,2714918.132743135,1.7143387,2985.513,0.32952207,0.09500097,Tizita
tizita147.wav,-1.3596475e-05,0.027866973,0.04623191101071542,0.044094521415012716,1167.329701901496,449714.7106608206,2190.0117572985196,2715299.6831287546,-0.250589,3553.91,0.29668906,0.09471794,Tizita
tizita148.wav,1.27384e-05,0.028867662,0.042613692164272125,0.04079776540440077,1398.6835004578604,491605.79296111304,2978.0020233649943,3760994.368779695,1.1321377,2912.5767,0.35768926,0.09566204,Tizita
tizita149.wav,2.9580802e-05,0.0148466965,0.0455182549294433,0.043446343397621504,964.8700302552288,221919.40715358112,1888.1469159672504,1446764.5889359144,-0.3837738,5081.399,0.34425026,0.09743608,Tizita
tizita150.wav,-3.800365e-05,0.04271215,0.05042312850496611,0.0478806366167378,937.675887792596,137162.16929861315,1583.448758435323,552771.4406771231,-0.8206361,4113.883,0.34848037,0.093177944,Tizita
tizita151.wav,-1.5289106e-05,0.05766818,0.05278787026579153,0.05000131101859351,1012.4384408116744,190330.56848169139,1729.981205706995,891600.837954714,-0.8127886,3198.1636,0.3271755,0.09357401,Tizita
